key,en,ja
language,language,言語
settings,settings,設定
english,English,英語
japanese,Japanese,日本語
home,home,ホーム
graph,graph,グラフ
theme,theme,テーマ
blueDark,dark blue,ダークブルー
blueLight,light blue,ライトブルー
greenDark,dark green,ダークグリーン
greenLight,light green,ライトグリーン
pageNumber,page $num of $parent tab,$parentタブ $num ページ
nextPage,Next page,次のページ
back,Back,戻る
timer,timer,タイマー
start,Start,開始
stop,Stop,停止
cancel,Cancel,キャンセル
hours,hours,時間
minutes,min,分
seconds,sec,秒
ready,Ready,準備
workOut,Work out,ワークアウト
routineList,Routine List,ルーティーンリスト
routineName,routine name,ルーティーン名
description,description,概要
action,action,行動
repeatNum,repeat,繰り返し回数